temp_bin,height_bin,count
"(0.0, 15.0]","(0.0, 50.0]",19795
"(0.0, 15.0]","(50.0, 100.0]",10339
"(0.0, 15.0]","(100.0, 200.0]",14042
"(0.0, 15.0]","(200.0, 400.0]",16556
"(0.0, 15.0]","(400.0, 2000.0]",42063
"(15.0, 20.0]","(0.0, 50.0]",53392
"(15.0, 20.0]","(50.0, 100.0]",21421
"(15.0, 20.0]","(100.0, 200.0]",24715
"(15.0, 20.0]","(200.0, 400.0]",23119
"(15.0, 20.0]","(400.0, 2000.0]",26937
"(20.0, 25.0]","(0.0, 50.0]",63738
"(20.0, 25.0]","(50.0, 100.0]",19631
"(20.0, 25.0]","(100.0, 200.0]",22960
"(20.0, 25.0]","(200.0, 400.0]",24482
"(20.0, 25.0]","(400.0, 2000.0]",23623
"(25.0, 30.0]","(0.0, 50.0]",56805
"(25.0, 30.0]","(50.0, 100.0]",13399
"(25.0, 30.0]","(100.0, 200.0]",21242
"(25.0, 30.0]","(200.0, 400.0]",26070
"(25.0, 30.0]","(400.0, 2000.0]",17226
"(30.0, 45.0]","(0.0, 50.0]",80581
"(30.0, 45.0]","(50.0, 100.0]",10862
"(30.0, 45.0]","(100.0, 200.0]",42387
"(30.0, 45.0]","(200.0, 400.0]",45051
"(30.0, 45.0]","(400.0, 2000.0]",17206
