temp_bin,rainfall_bin,height_bin,count
"(-0.001, 4.0]","(-0.001, 0.5]","(200.0, 400.0]",1
"(-0.001, 4.0]","(-0.001, 0.5]","(800.0, 1000.0]",25
"(-0.001, 4.0]","(-0.001, 0.5]","(1000.0, 1200.0]",81
"(-0.001, 4.0]","(-0.001, 0.5]","(1400.0, 1600.0]",131
"(-0.001, 4.0]","(-0.001, 0.5]","(1600.0, 1800.0]",286
"(-0.001, 4.0]","(-0.001, 0.5]","(1800.0, 2000.0]",161
"(-0.001, 4.0]","(0.5, 1.0]","(200.0, 400.0]",1
"(-0.001, 4.0]","(0.5, 1.0]","(800.0, 1000.0]",12
"(-0.001, 4.0]","(0.5, 1.0]","(1000.0, 1200.0]",38
"(-0.001, 4.0]","(0.5, 1.0]","(1400.0, 1600.0]",26
"(-0.001, 4.0]","(0.5, 1.0]","(1600.0, 1800.0]",44
"(-0.001, 4.0]","(0.5, 1.0]","(1800.0, 2000.0]",23
"(-0.001, 4.0]","(1.0, 1.5]","(400.0, 600.0]",1
"(-0.001, 4.0]","(1.0, 1.5]","(800.0, 1000.0]",5
"(-0.001, 4.0]","(1.0, 1.5]","(1000.0, 1200.0]",18
"(-0.001, 4.0]","(1.0, 1.5]","(1400.0, 1600.0]",7
"(-0.001, 4.0]","(1.0, 1.5]","(1600.0, 1800.0]",27
"(-0.001, 4.0]","(1.0, 1.5]","(1800.0, 2000.0]",10
"(-0.001, 4.0]","(1.5, 2.0]","(600.0, 800.0]",1
"(-0.001, 4.0]","(1.5, 2.0]","(800.0, 1000.0]",9
"(-0.001, 4.0]","(1.5, 2.0]","(1000.0, 1200.0]",31
"(-0.001, 4.0]","(1.5, 2.0]","(1400.0, 1600.0]",18
"(-0.001, 4.0]","(1.5, 2.0]","(1600.0, 1800.0]",26
"(-0.001, 4.0]","(1.5, 2.0]","(1800.0, 2000.0]",13
"(-0.001, 4.0]","(2.0, 2.5]","(600.0, 800.0]",1
"(-0.001, 4.0]","(2.0, 2.5]","(800.0, 1000.0]",9
"(-0.001, 4.0]","(2.0, 2.5]","(1000.0, 1200.0]",19
"(-0.001, 4.0]","(2.0, 2.5]","(1400.0, 1600.0]",8
"(-0.001, 4.0]","(2.0, 2.5]","(1600.0, 1800.0]",19
"(-0.001, 4.0]","(2.0, 2.5]","(1800.0, 2000.0]",6
"(-0.001, 4.0]","(2.5, 3.0]","(600.0, 800.0]",1
"(-0.001, 4.0]","(2.5, 3.0]","(800.0, 1000.0]",20
